Unnamed: 0,Scientific Name,Common Name,Order,Family,Role in Ecosystem
33,Microcrambus biguttellus,Gold-Stripe Grass-Veneer Moth,Lepidoptera,Crambidae,Pest
34,Hesperia leonardus,Pawnee Montane Skipper,Lepidoptera,Hesperiidae,Pollinator
35,Psyllobora vigintimaculata,twenty-spotted lady beetle,Coleoptera,Coccinellidae,Predator
36,Drepana falcataria,Pebble Hooktip,Lepidoptera,Drepanidae,Pest
37,Boloria dia,"Weaver's fritillary,violet fritillary",Lepidoptera,Nymphalidae,Pollinator
38,Lomographa vestaliata,white spring moth,Lepidoptera,Geometridae,Pollinator
39,Celithemis martha,Martha's pennant,Odonata,Libellulidae,Predator
40,Hemideina crassidens,the Wellington tree wētā,Orthoptera,Anostostomatidae,Predator
41,Alaus lusciosus,Texas Click Beetle ,Coleoptera,Elateridae,Predator
42,Chilades lajus,Lime Blue,Lepidoptera,Lycaenidae,Pollinator
43,Vanessa kershawi,Australian Painted Lady,Lepidoptera,Nymphalidae,Pollinator
44,Ennomos subsignaria,Elm Spanworm Moth,Lepidoptera,Geometridae,Pest
45,Chloroclystis inductata,,Lepidoptera,Geometridae,Pest
46,Cerma cerintha,tufted bird dropping moth,Lepidoptera,Noctuidae,Pest
47,Calophasia lunula,"toadflax moth, toadflax brocade moth",Lepidoptera,Noctuidae,Pest
48,Polistes apachus,"Apache Paper Wasp, Apache Wasp",Hymenoptera,Vespidae,Predator
49,Anavitrinella pampinaria,Common Gray Moth,Lepidoptera,Geometridae,Pollinator
50,Lithacodia musta,small mossy lithacodia,Lepidoptera,Noctuidae,Pest
51,Bombus terrestris,"Buff tailed bumblebee, Buff-tailed bumblebee, Buff-tailed Humble-bee, Large Earth Humble-bee",Hymenoptera,Apidae,Pollinator
52,Parapoynx allionealis,watermilfoil leafcutter moth,Lepidoptera,Crambidae,Pest
53,Melanchra adjuncta,Hitched Arches,Lepidoptera,Noctuidae,Pest
54,Colias philodice,clouded sulphur,Lepidoptera,Pieridae,Pollinator
55,Feralia comstocki,"Comstock's sallow,",Lepidoptera,Noctuidae,Pollinator
56,Libellula semifasciata,painted skimmer,Odonata,Libellulidae,Predator
57,Philaenus spumarius,"meadow froghopper, meadow spittlebug",Hemiptera,Aphrophoridae,Pest
58,Calopteryx aequabilis,River jewelwing,Odonata,Calopterygidae,Unknown/Not Available
59,Junonia lemonias,the lemon pansy,Lepidoptera,Nymphalidae,Pollinator
60,Libytheana carinenta,American snout butterfly,Lepidoptera,Nymphalidae,Pollinator
61,Idaea demissaria,red-bordered wave moth,Lepidoptera,Geometridae,Pest
62,Neoponera villosa,Hairy Panther Ant,Hymenoptera,Formicidae,Predator
63,Pelopidas mathias,small branded swift,Lepidoptera,Hesperiidae,Pollinator
64,Eooxylides tharis,Branded Imperial ,Lepidoptera,Lycaenidae,Pollinator
65,Chimarocephala pacifica,Painted meadow grasshopper,Orthoptera,Acrididae,Pest
66,Jamides celeno,Common cerulean,Lepidoptera,Lycaenidae,Pollinator
67,Ypthima huebneri,Common Four-ring,Lepidoptera,Nymphalidae,Pollinator
68,Coccinella californica,california lady beetle,Coleoptera,Coccinellidae,Predator
69,Catocala relicta,white underwing,Lepidoptera,Erebidae,Pollinator
70,Morrisonia confusa,Confused Woodgrain Moth,Lepidoptera,Noctuidae,Pest
71,Anaea aidea,Tropical Leafwing,Lepidoptera,Nymphalidae,Pollinator
72,Lycaena phlaeas,"small copper, american copper, common copper",Lepidoptera,Lycaenidae,Pollinator
73,Iridopsis larvaria,bent-line gray,Lepidoptera,Geometridae,Pest
74,Enallagma divagans,Turquoise Bluet,Odonata,Coenagrionidae,Unknown/Not Available
75,Maliattha concinnimacula,Red-spotted maliattha,Lepidoptera,Noctuidae,Pollinator
76,Lycaena virgaureae,scarce copper,Lepidoptera,Lycaenidae,Pollinator
77,Banasa euchlora," juniper stink bug, jade stinkbug",Hemiptera,Pentatomidae,Pest
78,Plebejus samuelis,Karner blue butterfly,Lepidoptera,Lycaenidae,Pollinator
79,Pyromorpha dimidiata,orange-patched smoky moth,Lepidoptera,Zygaenidae,Unknown/Not Available
80,Conocephalus brevipennis,short-winged meadow katydid,Orthoptera,Tettigoniidae,Herbivore
81,Nicrophorus orbicollis,Roundneck Sexton Beetle,Coleoptera,Silphidae,Decomposer
82,Osmia bicornis,Red mason bee,Hymenoptera,Megachilidae,Pollinator
83,Caripeta divisata,"gray spruce looper, twin-spot girdle",Lepidoptera,Geometridae,Pest
84,Argia emma,Emma's Dancer,Odonata,Coenagrionidae,Predator
85,Austroagrion watsoni,eastern billabongfly,Odonata,Coenagrionidae,Predator
86,Coccinella transversalis,"Transverse ladybird, transverse lady beetle",Coleoptera,Coccinellidae,Predator
87,Cepora nerissa, common gull,Lepidoptera,Pieridae,Pollinator
88,Palomena prasina,Green shield bugs,Hemiptera,Pentatomidae,Pest
89,Darapsa myron,virginia creeper sphinx,Lepidoptera,Sphingidae,Pollinator
90,Thasus gigas,,Hemiptera,Coreidae,Pest
91,Xylocopa tabaniformis,horsefly-like carpenter bee,Hymenoptera,Apidae,Pollinator
92,Agriphila straminella,Straw Grass-Veneer,Lepidoptera,Crambidae,Pest
93,Bombus huntii,Hunt's Bumble Bee,Hymenoptera,Apidae,Pollinator
94,Ypthima baldus,Common Five-ring,Lepidoptera,Nymphalidae,Pollinator
95,Erinnyis ello,Ello Sphinx Moth,Lepidoptera,Sphingidae,Pollinator
96,Climaciella brunnea,wasp mantidfly,Neuroptera,Mantispidae,Parasitoid
97,Leucorrhinia proxima,belted whiteface,Odonata,Libellulidae,Predator
98,Ceriagrion glabrum," common orange, common citril, common pond damsel, common waxtail, orange waxtail, gewone aljander.",Odonata,Coenagrionidae,Predator
99,Utetheisa pulchella,"Crimson-speckled Flunkey, Crimson-speckled Footman, Crimson-speckled Moth",Lepidoptera,Erebidae,Pollinator
100,Crambus perlella,Immaculate grass-veneer,Lepidoptera,Crambidae,Pest
101,Libellula needhami,Needham's skimmer,Odonata,Libellulidae,Predator
102,Smerinthus ocellata,Eyed hawk-moth,Lepidoptera,Sphingidae,Pollinator
103,Timandra amaturaria,"Cross-lined Wave Moth, Cobra Inchworm",Lepidoptera,Geometridae,Pollinator
104,Sphaenothecus bilineatus,double-banded bycid,Coleoptera,Cerambycidae,Predator
105,Moodna ostrinella,Darker Moodna Moth,Lepidoptera,Pyralidae,Pest
106,Nephelodes minians,Bronzed Cutworm Moth,Lepidoptera,Noctuidae,Pest
107,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae,Predator
108,Zeuzera pyrina,"Lepard Moth, Wood Lepard Moth",Lepidoptera,Cossidae,Pest
109,Pyrops candelaria," Lantern Bug, Longan Lanternfly.",Hemiptera,Fulgoridae,Pest
110,Burnsius communis,Common checkered-skipper,Lepidoptera,Hesperiidae,Pollinator
111,Libellula luctuosa,widow skimmer,Odonata,Libellulidae,Predator
112,Polites vibex,whirlabout,Lepidoptera,Hesperiidae,Pollinator
113,Callophrys dumetorum,"the coastal green hairstreak, bramble green hairstreak, bluish green hairstreak",Lepidoptera,Lycaenidae,Pollinator
114,Dynamine postverta,"Mylitta Greenwing, Four-Spot Sailer, 
Mexican Sailor",Lepidoptera,Nymphalidae,Pollinator
115,Papilio garamas,magnificent swallowtail,Lepidoptera,Papilionidae,Pollinator
116,Veromessor pergandei,Black Harvester Ant,Hymenoptera,Formicidae,Decomposer
117,Arctia virginalis,Ranchmans Tiger Moth,Lepidoptera,Erebidae,Pollinator
118,Bombus ternarius,orange-belted bumblebee or tricolored bumblebee,Hymenoptera,Apidae,Pollinator
119,Callimorpha dominula,The scarlet tiger moth,Lepidoptera,Erebidae,Pollinator
120,Pantala hymenaea,Spot-winged Glider,Odonata,Libellulidae,Pollinator
121,Opisthograptis luteolata,brimstone moth,Lepidoptera,Geometridae,Pollinator
122,Gelastocoris oculatus,toad bug,Hemiptera,Gelastocoridae,Predator
123,Catochrysops strabo,Forget-me-not,Lepidoptera,Lycaenidae,Pollinator
124,Argia bipunctulata,Seepage Dancer,Odonata,Coenagrionidae,Predator
125,Psamatodes abydata,the dot-lined angle,Lepidoptera,Geometridae,Pest
126,Trichodes apiarius,Bee Beetle,Coleoptera,Cleridae,"Predator, pollinator"
127,Peribalus strictus,vernal shieldbug,Hemiptera,Pentatomidae,Predator
128,Digrammia gnophosaria,Hollow-Spotted Angle Moth,Lepidoptera,Geometridae,Pollinator
129,Pyrrhosoma nymphula,The Large red damselfly,Odonata,Coenagrionidae,Predator
130,Merodon equestris,"Narcissus bulb fly, greater bulb fly, large bulb fly, large Narcissus fly",Diptera,Syrphidae,Pest
131,Feltia herilis,"the herald dart, Master's dart,",Lepidoptera,Noctuidae,Pest
132,Epilachna mexicana,Mexican Bean Beetle,Coleoptera,Coccinellidae,Pest
133,Argia apicalis,Blue-Fronted Dancer,Odonata,Coenagrionidae,Unknown/Not Available
134,Striacosta albicosta,Western Bean Cutworm,Lepidoptera,Noctuidae,Pest
135,Amphipsalta zelandica,Chorus Cicada,Hemiptera,Cicadidae,Pollinator
136,Acrida ungarica,"Cone-Headed Grasshopper, Nosed grasshopper, 
Mediterranean Slant-Faced Grasshopper",Orthoptera,Acrididae,Pest
137,Libelloides coccajus,owly sulphur,Neuroptera,Myrmeleontidae,Predator
138,Brachymesia gravida,Four-spotted Pennant ,Odonata,Libellulidae,Predator
139,Rhionaeschna mutata,	Spatterdock Darner,Odonata,Aeshnidae,Predator
140,Lymantria dispar,european gypsy moth,Lepidoptera,Erebidae,Pest
141,Orthetrum albistylum,white-tailed skimmer,Odonata,Libellulidae,Predator
142,Chauliodes pectinicornis,Summer Fishfly,Megaloptera,Corydalidae,Predator
143,Papilio bianor,"the Common peacock, Chinese peacock black swallowtail emerald, Chinese peacock",Lepidoptera,Papilionidae,Pollinator
144,Charadra deridens,"(laugher, marbled tuffet moth",Lepidoptera,Noctuidae,Decomposer
145,Phoebis agarithe,Large Orange Sulphur,Lepidoptera,Pieridae,Pollinator
146,Callopistria cordata,silver-spotted fern moth,Lepidoptera,Noctuidae,Pest
147,Crambidia pallida,pale lichen moth,Lepidoptera,Erebidae,Pollinator
148,Scaeva affinis,White-bowed smoothwing,Diptera,Syrphidae,Predator
149,Hypoprepia fucosa,Painted lichen moth,Lepidoptera,Erebidae,Pollinator
150,Andrena cineraria,Ashy Mining Bee,Hymenoptera,Andrenidae,Pollinator
151,Poecilocoris lewisi,the clown stink bug,Hemiptera,Scutelleridae,Predator
152,Brachymesia furcata,red-tailed pennant,Odonata,Libellulidae,Predator
153,Anticarsia gemmatalis,Velvetbean Caterpillar,Lepidoptera,Erebidae,Pest
154,Graphium sarpedon,Common Bluebottle,Lepidoptera,Papilionidae,Pollinator
155,Catocala ultronia,Dark red underwing,Lepidoptera,Erebidae,Pollinator
156,Hebomoia glaucippe,Great orange-tip,Lepidoptera,Pieridae,Pollinator
157,Cordulegaster dorsalis,Pacific spiketail,Odonata,Cordulegastridae,Predator
158,Brenthis daphne, marbled fritillary,Lepidoptera,Nymphalidae,Pollinator
159,Chlosyne gabbii,Gabb's checkerspot,Lepidoptera,Nymphalidae,Pollinator
160,Zale minerea,,Lepidoptera,Erebidae,Pest
161,Xanthorhoe montanata,Silver-Ground Carpet,Lepidoptera,Geometridae,Pollinator
162,Chrysochraon dispar,Large gold grasshopper,Orthoptera,Acrididae,Herbivore
163,Prolimacodes badia,skiff moth,Lepidoptera,Limacodidae,Pest
164,Glyphodes onychinalis,,Lepidoptera,Crambidae,Pest
165,Orthosia cerasi,The common Quaker,Lepidoptera,Noctuidae,Pest
166,Trigonopeltastes delta,"Delta Flower Scarab, D Beetle",Coleoptera,Scarabaeidae,Pollinator
167,Lampyris noctiluca,common glow-worm,Coleoptera,Lampyridae,Predator
168,Volucella inanis,Hoverfly,Diptera,Syrphidae,Pollinator
169,Dasypodia cymatodes,"Northern Old Lady Moth,
 Northern Wattle Moth",Lepidoptera,Erebidae,Pollinator
170,Hypocysta metirius,common brown ringlet,Lepidoptera,Nymphalidae,Pollinator
171,Leptophobia aripa,"common green-eyed white, mountain white butterfly",Lepidoptera,Pieridae,Pollinator
172,Myrmecia pilosula,"Jack Jumper Ant, Jack Jumper, Jumping Jack, Hopper Ant, Jumper Ant",Hymenoptera,Formicidae,Predator
173,Rhionaeschna californica,California darner,Odonata,Aeshnidae,Predator
174,Scudderia septentrionalis,northern bush katydid,Orthoptera,Tettigoniidae,Predator
175,Ellychnia corrusca,Winter Firefly,Coleoptera,Lampyridae,Decomposer
176,Cupido comyntas,Eastern-tailed blue,Lepidoptera,Lycaenidae,Pollinator
177,Anartia amathea,"Brown Peacock, Scarlet Peacock, Red Peacock",Lepidoptera,Nymphalidae,Pollinator
178,Orgyia antiqua,European tussock moth,Lepidoptera,Erebidae,Pest
179,Asterocampa celtis,Hackberry Emperor,Lepidoptera,Nymphalidae,Pollinator
180,Nepa cinerea,Water Scorpion ,Hemiptera,Nepidae,Predator
181,Heliophorus epicles,the purple sapphire,Lepidoptera,Lycaenidae,Pollinator
182,Lomographa glomeraria,gray spring moth,Lepidoptera,Geometridae,Pollinator
183,Bombus pascuorum, Common Carder Bee,Hymenoptera,Apidae,Pollinator
184,Lobophora nivigerata,"powdered bigwing, two-lined aspen looper",Lepidoptera,Geometridae,Pest
185,Heteronympha merope,common brown,Lepidoptera,Nymphalidae,Pollinator
186,Clemensia albata,Little white lichen moth,Lepidoptera,Erebidae,Pollinator
187,Cuerna costalis,lateral-lined sharpshooter,Hemiptera,Cicadellidae,Pest
188,Hypena baltimoralis," the Baltimore bomolocha, Baltimore hypena",Lepidoptera,Erebidae,Pest
189,Arilus cristatus,North American Wheel Bug,Hemiptera,Reduviidae,Predator
190,Eristalis dimidiata,black-shouldered drone fly,Diptera,Syrphidae,Pollinator
191,Lithosia quadra,four-spotted footman,Lepidoptera,Erebidae,Pest
192,Hypena proboscidalis,the snout,Lepidoptera,Erebidae,Pest
193,Diapheromera femorata,Common Walkingstick,Phasmida,Diapheromeridae,Herbivore
194,Microcrambus elegans,Elegant Grass-Veneer Moth,Lepidoptera,Crambidae,Pest
195,Euphyes dion,Dion skipper ,Lepidoptera,Hesperiidae,Pollinator
196,Patania ruralis,mother of pearl moth,Lepidoptera,Crambidae,Pest
197,Hyalophora cecropia,"ecropia moth, cecropia silkmoth, robin moth",Lepidoptera,Saturniidae,Pollinator
198,Brechmorhoga mendax,Pale-faced Clubskimmer,Odonata,Libellulidae,Predator
199,Jadera haematoloma,"red-shouldered bug, goldenrain-tree bug, soapberry bug ",Hemiptera,Rhopalidae,Pest
200,Apantesis phalerata,Harnessed Tiger Moth,Lepidoptera,Erebidae,Pollinator
201,Ponometia semiflava,"Yellow-cloaked Midget, The Half-Yellow",Lepidoptera,Noctuidae,Pest
202,Dolichovespula arenaria,"Aerial Yellowjacket, Snadhills Hornet, 
Common Yellow Hornet",Hymenoptera,Vespidae,"Predator, pollinator"
203,Zizina otis,Lesser Grass Blue,Lepidoptera,Lycaenidae,Pollinator
204,Anthocharis sara,Sara Orangetip Butterfly,Lepidoptera,Pieridae,Pollinator
205,Mellilla xanthometata,Orange wing,Lepidoptera,Geometridae,Pollinator
206,Ancyloxypha numitor,Least Skipper ,Lepidoptera,Hesperiidae,Pollinator
207,Phyciodes graphica,"Vesta, Graphic Crescent",Lepidoptera,Nymphalidae,Pollinator
208,Teleogryllus commodus,Black Field Cricket,Orthoptera,Gryllidae,Pest
209,Glaucopsyche alexis,green-underside blue,Lepidoptera,Lycaenidae,Pollinator
210,Agrypnus murinus,Click Beetle ,Coleoptera,Elateridae,Pest
211,Eurytides marcellus,zebra swallowtail,Lepidoptera,Papilionidae,Pollinator
212,Periplaneta fuliginosa,smokybrown cockroach,Blattodea,Blattidae,Pest
213,Hermeuptychia hermes,Hermes satyr,Lepidoptera,Nymphalidae,Pollinator
214,Aeshna tuberculifera,Black-Tipped Darner,Odonata,Aeshnidae,Predator
215,Junonia natalica,Black-Tipped Darner,Lepidoptera,Nymphalidae,Pollinator
216,Ichneutica mutans,New Zealand cutworm,Lepidoptera,Noctuidae,Pest
217,Buprestis aurulenta,"golden jewel beetle, golden buprestid,",Coleoptera,Buprestidae,Decomposer
218,Cheilomenes sexmaculata,Zigzag ladybird beetle,Coleoptera,Coccinellidae,Predator
219,Brunia antica,,Lepidoptera,Erebidae,Unknown/Not Available
220,Euphyia intermediata,Sharp-angled carpet,Lepidoptera,Geometridae,Pollinator
221,Speyeria atlantis,the Atlantis fritillary,Lepidoptera,Nymphalidae,Pollinator
222,Hystricia abrupta,Tachinid Fly,Diptera,Tachinidae,Parasitoid
223,Euclea delphinii,spiny slug caterpillar,Lepidoptera,Limacodidae,Pest
224,Lygaeus kalmii,"small milkweed bug, common milkweed bug",Hemiptera,Lygaeidae,Pest
225,Euschistus tristigmus,dusky stink bug,Hemiptera,Pentatomidae,Pest
226,Delias eucharis,Common Jezebel,Lepidoptera,Pieridae,Pollinator
227,Acraea issoria,Yellow Coster,Lepidoptera,Nymphalidae,Pollinator
228,Matrona cyanoptera,Formosan Jeweling,Odonata,Calopterygidae,Predator
229,Elophila icciusalis,Pondside Pyralid Moth,Lepidoptera,Crambidae,Pollinator
230,Cigaritis lohita,long-banded silverline,Lepidoptera,Lycaenidae,Pollinator
231,Ischnura perparva,western forktail,Odonata,Coenagrionidae,Predator
232,Speyeria aglaja,Dark green fritillary,Lepidoptera,Nymphalidae,Pollinator
233,Cisseps fulvicollis,yellow collared scape moth,Lepidoptera,Erebidae,Pollinator
234,Augochlora pura,pure gold-green sweat bee,Hymenoptera,Halictidae,Pollinator
235,Leuconycta diphteroides,green leuconycta moth,Lepidoptera,Noctuidae,Herbivore
236,Toxomerus marginatus,Margined Calligrapher,Diptera,Syrphidae,Pollinator
237,Ochrogaster lunifer,Bag Shelter Moth,Lepidoptera,Notodontidae,Pest
238,Amyna stricta,Eight-Spot Moth,Lepidoptera,Noctuidae,Pest
239,Austroargiolestes icteromelas,"common flatwing, Australian flatwing.",Odonata,Argiolestidae,Predator
240,Apis cerana,"Eastern Honey Bee, Asiatic Honey Bee, 
Asain Honey Bee",Hymenoptera,Apidae,Pollinator
241,Schizura ipomaeae," the morning-glory prominent moth,  false unicorn caterpillar",Lepidoptera,Notodontidae,Pest
242,Pareronia hippia,"common wanderer, indian wanderer butterfly",Lepidoptera,Pieridae,Pollinator
243,Nomophila noctuella,Rush Veneer,Lepidoptera,Crambidae,Pest
244,Pyronia tithonus,"The gatekeeper, hedge brown",Lepidoptera,Nymphalidae,Pollinator
245,Pholidoptera griseoaptera,Dark bush-cricket,Orthoptera,Tettigoniidae,Predator
246,Orthetrum cancellatum,Black-tailed skimmer,Odonata,Libellulidae,Predator
247,Andrena wilkella,Wilke's Mining Bee,Hymenoptera,Andrenidae,Pollinator
248,Clogmia albipunctata,"bathroom moth midge,bathroom moth fly,
drain fly",Diptera,Psychodidae,Decomposer
249,Ictinogomphus rapax,Indian Common Clubtail,Odonata,Gomphidae,Predator
250,Lophocampa maculata,spotted tussock moth,Lepidoptera,Erebidae,Pest
251,Zizeeria karsandra, Dark Grass Blue,Lepidoptera,Lycaenidae,Pollinator
252,Gnophaela vermiculata,police-car moth or green lattice,Lepidoptera,Erebidae,Pollinator
253,Pompeius verna,Little Glassywing ,Lepidoptera,Hesperiidae,Pollinator
254,Pyrausta tyralis,"loving pyrausta moth,coffee-loving pyrausta moth",Lepidoptera,Crambidae,Pest
255,Hypercompe scribonia,giant woolly bear,Lepidoptera,Erebidae,Pollinator
256,Daktulosphaira vitifoliae,Grape phylloxera,Hemiptera,Phylloxeridae,Pest
257,Charaxes bernardus,Tawny rajah,Lepidoptera,Nymphalidae,Pollinator
258,Gonocerus acuteangulatus,the box bug,Hemiptera,Coreidae,Pest
259,Plecia nearctica,"Lovebugs,March flies, double-headed bugs, honeymoon flies, united bugs",Diptera,Bibionidae,Pollinator
260,Atolmis rubricollis,red-necked footman,Lepidoptera,Erebidae,Decomposer
261,Danaus gilippus,Queen butterfly,Lepidoptera,Nymphalidae,Pollinator
262,Catocala nupta,Red underwing,Lepidoptera,Erebidae,Pest
263,Hemieuxoa rudens,,Lepidoptera,Noctuidae,Pest
264,Acraea horta,Garden Acraea ,Lepidoptera,Nymphalidae,Pollinator
265,Manduca sexta,Tobacco Hornworm,Lepidoptera,Sphingidae,Pest
266,Amblyscirtes celia,"Celia's Roadside Skipper, Roadside Rambler ",Lepidoptera,Hesperiidae,Pollinator
267,Hamadryas feronia,Variable Cracker,Lepidoptera,Nymphalidae,Pollinator
268,Chrysomela populi,Poplar leaf beetle,Coleoptera,Chrysomelidae,Pest
269,Cosmia calami,american dun-bar moth,Lepidoptera,Noctuidae,Pest
270,Cyclophora linearia,clay triple-lines,Lepidoptera,Geometridae,Unknown/Not Available
271,Epitheca canis,Beaverpond Baskettail,Odonata,Corduliidae,Predator
272,Trithemis pallidinervis,"Long-legged Marsh Glider, Dancing Dropwing",Odonata,Libellulidae,Predator
273,Deidamia inscriptum,Lettered Sphinx,Lepidoptera,Sphingidae,Pollinator
274,Leptotes marina,"marine blue, striped blue butterfly",Lepidoptera,Lycaenidae,Pollinator
275,Clostera albosigma,sigmoid prominent,Lepidoptera,Notodontidae,Pest
276,Diabrotica balteata,Banded Cucumber Beetle,Coleoptera,Chrysomelidae,Pest
277,Oiceoptoma thoracicum,Red-breasted Carrion Beetle,Coleoptera,Silphidae,Decomposer
278,Digrammia atrofasciata,Broad-Lined Angle Moth,Lepidoptera,Geometridae,Pest
279,Camponotus pennsylvanicus,black carpenter ant,Hymenoptera,Formicidae,Pest
280,Deraeocoris ruber,Mirid Bug,Hemiptera,Miridae,Predator
281,Chrysodeixis includens,soybean looper moth,Lepidoptera,Noctuidae,Pest
282,Operophtera bruceata,bruce spanworm,Lepidoptera,Geometridae,Pest
283,Dicromantispa sayi,Say's Mantidfly,Neuroptera,Mantispidae,Predator
284,Photinus pyralis,"common eastern firefly, big dipper firefly",Coleoptera,Lampyridae,Unknown/Not Available
285,Agapanthia villosoviridescens,Golden-Bloomed Grey Beetle,Coleoptera,Cerambycidae,Pest
286,Ladona deplanata,Blue corporal,Odonata,Libellulidae,Predator
287,Nehalennia gracilis,Sphagnum Sprite,Odonata,Coenagrionidae,Unknown/Not Available
288,Neacoryphus bicrucis,Whitecrossed Seed Bug,Hemiptera,Lygaeidae,Pest
289,Banasa dimidiata,green burgundy stink bug,Hemiptera,Pentatomidae,Pest
290,Bulia deducta,,Lepidoptera,Erebidae,Pest
291,Declana floccosa,"Forest Semilooper, Manuka Moth",Lepidoptera,Geometridae,Pest
292,Chrysomya megacephala,oriental latrine fly,Diptera,Calliphoridae,Decomposer
293,Pseudothemis zonata,Pied Skimmer.,Odonata,Libellulidae,Predator
294,Chionodes mediofuscella,black -smudged chionodes moth,Lepidoptera,Gelechiidae,Pest
295,Archimantis latistyla,Large Brown Mantis,Mantodea,Mantidae,Predator
296,Chrysochus cobaltinus,"blue milkweed beetle, cobalt milkweed
beetle",Coleoptera,Chrysomelidae,Herbivore
297,Junonia hierta,Yellow pansy,Lepidoptera,Nymphalidae,Pollinator
298,Potanthus omaha,the lesser dart,Lepidoptera,Hesperiidae,Pollinator
299,Aphantopus hyperantus,Ringlet,Lepidoptera,Nymphalidae,Pollinator
300,Archips purpurana,Omnivorous Leafroller Moth,Lepidoptera,Tortricidae,Pest
301,Phalaenostola larentioides,black-banded owlet moth,Lepidoptera,Erebidae,Pest
302,Agrotis infusa,Bogong Moth,Lepidoptera,Noctuidae,Pest
303,Euploea tulliolus,"Purple Crow, Eastern Brown Crow",Lepidoptera,Nymphalidae,Pollinator
304,Acrolophus popeanella,Clemens' Grass Tubeworm Moth,Lepidoptera,Tineidae,Pest
305,Graphium agamemnon,Tailed Jay,Lepidoptera,Papilionidae,Pollinator
306,Eristalis flavipes,"orange-legged drone fly, ",Diptera,Syrphidae,Pollinator
307,Sympetrum pallipes,Striped Meadowhawk,Odonata,Libellulidae,Predator
308,Chlosyne palla,Northern checkerspot,Lepidoptera,Nymphalidae,Pollinator
309,Alaus oculatus,Eastern Eyed Click Beetle,Coleoptera,Elateridae,Predator
310,Macrothylacia rubi,fox moth,Lepidoptera,Lasiocampidae,Pest
311,Uresiphita reversalis,Genista Broom Moth,Lepidoptera,Crambidae,Pest
312,Microcentrum retinerve,Lesser Angled-winged Katydid,Orthoptera,Tettigoniidae,Herbivore
313,Epicallima argenticinctella,Orange-Headed Epicallima Moth,Lepidoptera,Oecophoridae,Decomposer
314,Nisitrus vittatus,Orange-Headed Epicallima Moth,Orthoptera,Gryllidae,Pest
315,Hofmannophila pseudospretella,Brown house moth,Lepidoptera,Oecophoridae,Pest
316,Hemaris diffinis,Snowberry clearwing,Lepidoptera,Sphingidae,Pollinator
317,Callirhytis seminator,wool sower,Hymenoptera,Cynipidae,Pest
